Resource,Column 8,Path,Min,Max,Max,Description,Available / Missing in KNHTS,Notes,Update Concept ID,Valueset URL,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
Coverage,,coverage.memberStatus,0,1,CodeableConcept,Current member status,Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/COVERAGE-MEMBER-STATUS/,,,,,,,,,,,,,,,,,,
Coverage,,coverage.eligibilityDate,0,1,date,Eligibility start date,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.terminationDate,0,1,date,Coverage termination date,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.enrollmentDate,0,1,date,Enrollment date,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.serviceArea,0,*,Reference(Location),Geographic service area,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.formulary,0,1,Reference(List),Covered drug formulary,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.effectivePeriod,0,1,Period,Validity period of coverage info,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.comments,0,1,markdown,Free-text comments,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.contract,0,*,Reference(Contract),Associated contracts,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.beneficiaryHistory,0,*,Reference(Patient),Previous beneficiaries,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.annualLimits,0,*,BackboneElement,Annual service limits,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.annualLimits.amount,1,1,Money,Annual limit amount,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.annualLimits.period,0,1,Period,Annual limit period,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.waiver,0,*,BackboneElement,Waived services or conditions,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.waiver.type,0,1,CodeableConcept,Waiver type,Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/WAIVER-TYPE/,,,,,,,,,,,,,,,,,,
Coverage,,coverage.waiver.period,0,1,Period,Waiver effective period,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.guaranteeCertificate,0,1,Identifier,Guarantee certificate identifier,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.memberCardImage,0,1,Reference(DocumentReference),Insurance card image,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension,0,*,Extension,Optional Extensions Element,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.batch-identifier,0,1,Identifier,,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.batch-number,0,1,positiveInt,The number associated with a claim within a Batch.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.batch-period,0,1,period 2,The date associated with the Batch.Batch Date,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.diagnosisRelatedGroup,0,1,CodeableConcept,create extension to hold the DRG - Codesystem (AR DRG) and Valueset Required,,,,http://hl7.org/fhir/ValueSet/ex-diagnosisrelatedgroup,,,,,,,,,,,,,,,,,,
Claim,,Claim.encounter,0,1,Reference (itm encounter),create extension to refer to the encounter,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.eligibilityResponse,0,1,Reference (itm eligibilityResponse),.reference to coverage eligibility response ID,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.eligibilityOffLine,0,1,string,string will contain a reference value from the payer,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.eligibilityOffLineDate,0,1,dateTime,Date when the offline check was done,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.authorizationOffLineDate,0,1,dateTime,Date when the offline check could not be performed,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.priorauthResponse,0,1,"Reference (itm AuthorizationResponse ClaimResponse, advanced Authorization)",.reference to priorauthorization response ID,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.episode,1,1,Identifier,The provider specific episode identifier.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.newborn,0,1,Boolean,Flag to identify that this claim is for a newborn,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.identifier,1,1,Identifier,A unique identifier assigned to this claim.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.status,1,1,code,The status of the resource instance.,Available & Incomplete,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/CLAIM-STATUS/,,,,,,,,,,,,,,,,,,
Claim,,Claim.type,1,1,CodeableConcept,"The category of claim, Institutional in this profile",Available & Incomplete,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/CLAIM-TYPE/,,,,,,,,,,,,,,,,,,
Claim,,Claim.subType,0,1,CodeableConcept,A finer grained suite of claim type codes which may convey additional information such as Inpatient vs Outpatient and/or a specialty service.,Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/CLAIM-SUBTYPE/,,,,,,,,,,,,,,,,,,
Claim,,Claim.use,1,1,code,A code to indicate whether the nature of the request is: to request adjudication of products and services previously rendered; or requesting authorization and adjudication for provision in the future; or requesting the non-binding adjudication of the listed products and services which could be provided in the future.,Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/CLAIM-USE/,,,,,,,,,,,,,,,,,,
Claim,,Claim.patient,1,1,Reference itm Patient(Patient) profile,The party to whom the professional services and/or products have been supplied or are being considered and for whom actual or forecast reimbursement is sought.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.billablePeriod,1,1,Period 2,The period for which charges are being submitted.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.created,1,1,dateTime,The date this resource was created.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurer,1,1,Reference itm Organization(Insurer) profile,The Insurer who is target of the request.,,,,,,,,,,,,,,,,,,,,,,
